"Identyfikator Produktu Leczniczego";"Nazwa Produktu Leczniczego";"Nazwa powszechnie stosowana";"Rodzaj preparatu";"Zakaz stosowania u zwierząt";"Nazwa poprzednia produktu";"Droga podania - Gatunek - Tkanka - Okres karencji";"Moc";"Postać farmaceutyczna";"Typ procedury";"Numer pozwolenia";"Ważność pozwolenia";"Kod ATC";"Podmiot odpowiedzialny";"Opakowanie";"Substancja czynna";"Nazwa wytwórcy";"Kraj wytwórcy";"Nazwa importera";"Kraj importera";"Nazwa wytwórcy/importera";"Kraj wytwórcy/importera";"Podmiot odpowiedzialny w kraju eksportu";"Kraj eksportu";"Podstawa prawna wniosku";"Ulotka";"Charakterystyka";"Etykieto-ulotka";"Ulotka importu równoległego";"Etykieto-ulotka importu równoległego";"Oznakowanie opakowań importu równoległego";"Narzędzia edukacyjne dla osoby wykonującej zawód medyczny";"Narzędzia edukacyjne dla pacjenta"
"100000014";"Zoledronic acid Fresenius Kabi";"Acidum zoledronicum";"Ludzki";"";"";"dożylna";"4 mg/5 ml";"Koncentrat do sporządzania roztworu do infuzji";"DCP";"20708";"Bezterminowe";"M05BA08";"Fresenius Kabi Polska Sp. z o.o.";"05909991023652 ¦ Rpz ¦ 2
1 fiol. 5 ml
05909991023669 ¦ Rpz ¦ 3
4 fiol. 5 ml
05909991023676 ¦ Rpz ¦ 4
10 fiol. 5 ml";"Acidum zoledronicum 4 mg/5 ml";"Fresenius Kabi Austria GmbH";"Austria";"";"";"Fresenius Kabi Austria GmbH";"Austria";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/1/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/1/characteristic";"";"";"";"";"";""
"100000020";"Edelan";"Mometasoni furoas";"Ludzki";"";"";"na skórę";"1 mg/g";"Krem";"NAR";"20899";"Bezterminowe";"D07AC13";"Zakłady Farmaceutyczne POLPHARMA S.A.";"05909991023683 ¦ Rp ¦ 5
1 tuba 15 g
05909991023690 ¦ Rp ¦ 6
1 tuba 30 g";"Mometasoni furoas 1 mg/g";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"";"";"art. 15 ust. 12";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/2/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/2/characteristic";"";"";"";"";"";""
"100000037";"Nalgesin";"Naproxenum natricum";"Ludzki";"";"";"doustna";"275 mg";"Tabletki powlekane";"DCP";"20696";"Bezterminowe";"M01AE02";"Krka, d.d., Novo mesto";"05909991023744 ¦ Rp ¦ 8
10 tabl.
05909991023751 ¦ Rp ¦ 9
20 tabl.
05909991023768 ¦ Rp ¦ 10
30 tabl.
05909991023775 ¦ Rp ¦ 11
60 tabl.
05909991066178 ¦ Rp ¦ 84656
40 tabl.";"Naproxenum natricum 275 mg";"Krka, d.d., Novo mesto";"Słowenia";"";"";"Krka, d.d., Novo mesto";"Słowenia";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/3/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/3/characteristic";"";"";"";"";"";""
"100000043";"Nalgesin Forte";"Naproxenum natricum";"Ludzki";"";"";"doustna";"550 mg";"Tabletki powlekane";"DCP";"20697";"Bezterminowe";"M01AE02";"Krka, d.d., Novo mesto";"05909991023782 ¦ Rp ¦ 12
10 tabl.
05909991023799 ¦ Rp ¦ 13
20 tabl.
05909991023805 ¦ Rp ¦ 14
30 tabl.
05909991023829 ¦ Rp ¦ 15
50 tabl.
05909991023836 ¦ Rp ¦ 16
60 tabl.
05909991066185 ¦ Rp ¦ 84657
40 tabl.";"Naproxenum natricum 550 mg";"Krka, d.d., Novo mesto";"Słowenia";"";"";"Krka, d.d., Novo mesto";"Słowenia";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/4/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/4/characteristic";"";"";"";"";"";""
"100000095";"Amlozek";"Amlodipinum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki";"NAR";"07998";"Bezterminowe";"C08CA01";"Adamed Pharma S.A.";"05909990799817 ¦ Rp ¦ 22
30 tabl.
05909990072866 ¦ Rp ¦ 37882
60 tabl.";"Amlodipini besilas 10 mg";"Adamed Pharma S.A.";"Polska";"";"";"Adamed Pharma S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/9/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/9/characteristic";"";"";"";"";"";""
"100000126";"Proxacin 1%";"Ciprofloxacinum";"Ludzki";"";"";"dożylna";"10 mg/ml";"Koncentrat do sporządzania roztworu do infuzji";"NAR";"08055";"Bezterminowe";"J01MA02";"Zentiva, k.s.";"05909990805518 ¦ Rp ¦ 25
10 amp. 10 ml
05909990805617 ¦ Rp ¦ 38268
5 fiol. 20 ml
05909990805624 ¦ Rp ¦ 38269
10 fiol. 20 ml";"Ciprofloxacinum 100 mg";"";"";"";"";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/12/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/12/characteristic";"";"";"";"";"";""
"100000250";"Aprovel";"Irbesartanum";"Ludzki";"";"";"doustna";"150 mg";"Tabletki";"CEN";"";"";"C09CA04";"Sanofi Winthrop Industrie";"05909990782512 ¦ Rp ¦ EU/1/97/046/004 ¦ 54
28 tabl.
05909990782529 ¦ Rp ¦ EU/1/97/046/005 ¦ 55
56 tabl. w blistrze
05909990782536 ¦ Rp ¦ EU/1/97/046/006 ¦ 56
98 tabl.
05909990782543 ¦ Rp ¦ EU/1/97/046/011 ¦ 20899
14 tabl.
05909990430178 ¦ Rp ¦ EU/1/97/046/014 ¦ 31950
56 tabl. w blistrze perforowanym";"Irbesartanum 150 mg";"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis S.A.";"Francja
Francja
Hiszpania";"";"";"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis S.A.";"Francja
Francja
Hiszpania";"";"";"";"";"";"";"";"";"";"";""
"100000296";"Twinrix Adult";"Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum";"Ludzki";"";"";"domięśniowa";"";"Zawiesina do wstrzykiwań";"CEN";"";"";"J07BC20";"GlaxoSmithKline Biologicals S.A.";"05909990794812 ¦ Rp ¦ Skasowane ¦ 58
1 fiol. 1 ml
05909990794829 ¦ Rp ¦ Skasowane ¦ 59
10 fiol. 1 ml
05909990794836 ¦ Rp ¦ Skasowane ¦ 61
25 fiol. 1 ml
05909990794843 ¦ Rp ¦ EU/1/96/020/007 ¦ 62
1 amp.-strzyk. 1 ml ¦ 1 igła 
¦ UR/Z/4c/204/24 - 05050459002044 ¦ UR/Z/4c/002/25 - 05050459002044
05909990794850 ¦ Rp ¦ EU/1/96/020/008 ¦ 63
10 amp.-strzyk. 1 ml ¦ 1 igła 
05909990794867 ¦ Rp ¦ EU/1/96/020/009 ¦ 64
25 amp.-strzyk. 1 ml ¦ 1 igła 
05909990794874 ¦ Rp ¦ EU/1/96/020/001 ¦ 65
1 amp.-strzyk. 1 ml bez igły
05909990794881 ¦ Rp ¦ EU/1/96/020/002 ¦ 66
10 amp.-strzyk. 1 ml bez igły
05909990794898 ¦ Rp ¦ EU/1/96/020/003 ¦ 67
25 amp.-strzyk. 1 ml bez igły";"Vaccinum Hepatits A+B 1 ml (1 dawka)";"GlaxoSmithKline Biologicals S.A.";"Belgia";"";"";"GlaxoSmithKline Biologicals S.A.";"Belgia";"";"";"";"";"";"";"";"";"";"";""
"100000310";"AmBisome liposomal";"Amphotericinum B";"Ludzki";"";"";"dożylna";"50 mg";"Proszek do sporządzania dyspersji do infuzji";"NAR";"08000";"Bezterminowe";"J02AA01";"Gilead Sciences Ireland UC";"05909990800018 ¦ Rp ¦ 70
10 fiol. 50 mg + filtr membranowy
05909990800025 ¦ Rp ¦ 13146
1 fiol. 50 mg + filtr membranowy";"Amphotericinum B 50 mg";"Gilead Sciences Ireland UC";"Irlandia";"";"";"Gilead Sciences Ireland UC";"Irlandia";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/31/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/31/characteristic";"";"";"";"";"";""
"100000356";"Indapen SR";"Indapamidum";"Ludzki";"";"";"doustna";"1,5 mg";"Tabletki o przedłużonym uwalnianiu";"NAR";"14890";"Bezterminowe";"C03BA11";"Zakłady Farmaceutyczne POLPHARMA S.A.";"05909990665891 ¦ Rp ¦ 14522
28 tabl.
05909990665907 ¦ Rp ¦ 29048
30 tabl.
05909990665938 ¦ Rp ¦ 29049
56 tabl.
05909990665945 ¦ Rp ¦ 29050
60 tabl.";"Indapamidum 1.54 mg";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/35/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/35/characteristic";"";"";"";"";"";""
"100000362";"Xyrem";"Natrii hydroxybutyras";"Ludzki";"";"";"doustna";"500 mg/ml";"Roztwór doustny";"CEN";"";"";"N07XX04";"UCB Pharma S.A.";"05909990022502 ¦ Rpz ¦ EU/1/05/312/001 ¦ 34656
1 butelka 240 ml";"Natrii hydroxybutyras 500 mg/ml";"UCB Pharma S.A.";"Belgia";"";"";"UCB Pharma S.A.";"Belgia";"";"";"";"";"";"";"";"";"";"";""
"100000505";"Filgrastim Hexal";"Filgrastimum";"Ludzki";"";"";"dożylna 
podskórna";"30 mln j.m./0,5 ml (60 mln j.m./ml)";"Roztwór do wstrzykiwań lub infuzji";"CEN";"";"";"L03AA02";"Hexal AG";"05909990683307 ¦ Rpz ¦ EU/1/08/496/001 ¦ 46180
1 amp.-strzyk. 0,5 ml z zabezpieczeniem igły
05909990683338 ¦ Rpz ¦ EU/1/08/496/002 ¦ 46181
3 amp.-strzyk. 0,5 ml z zabezpieczeniem igły
05909990683345 ¦ Rpz ¦ EU/1/08/496/003 ¦ 46387
5 amp.-strzyk. 0,5 ml z zabezpieczeniem igły
05909990683352 ¦ Rpz ¦ EU/1/08/496/004 ¦ 48680
10 amp.-strzyk. 0,5 ml z zabezpieczeniem igły
Rpz ¦ Skasowane ¦ EU/1/08/496/009 ¦ 122162
1 amp.-strzyk. 0,5 ml
Rpz ¦ Skasowane ¦ EU/1/08/496/010 ¦ 122163
3 amp.-strzyk. 0,5 ml
Rpz ¦ Skasowane ¦ EU/1/08/496/015 ¦ 122164
5 amp.-strzyk. 0,5 ml
Rpz ¦ Skasowane ¦ EU/1/08/496/012 ¦ 122165
10 amp.-strzyk. 0,5 ml";"Filgrastimum 30 mln j./ 0,5 ml";"Sandoz GmbH Schaftenau";"Austria";"";"";"Novartis Pharmaceutical Manufacturing GmbH
Sandoz GmbH Schaftenau";"Austria
Austria";"";"";"";"";"";"";"";"";"";"";""
"100000592";"Exelon";"Rivastigminum";"Ludzki";"";"";"doustna";"6 mg";"Kapsułki twarde";"CEN";"";"";"N06DA03";"Novartis Europharm Limited";"05909990781416 ¦ Rpz ¦ EU/1/98/066/010 ¦ 113
28 kaps.
05909990781423 ¦ Rpz ¦ EU/1/98/066/011 ¦ 117
56 kaps.
05909990781430 ¦ Rpz ¦ EU/1/98/066/012 ¦ 118
112 kaps.
05909990000968 ¦ Rpz ¦ Skasowane ¦ EU/1/98/066/017 ¦ 23775
250 kaps.";"Rivastigminum 6 mg";"Novartis Farmaceutica S.A.
Novartis Pharma GmbH";"Hiszpania
Niemcy";"";"";"Novartis Farmaceutica S.A.
Novartis Pharma GmbH";"Hiszpania
Niemcy";"";"";"";"";"";"";"";"";"";"";""
"100000600";"Ursopol";"Acidum ursodeoxycholicum";"Ludzki";"";"";"doustna";"300 mg";"Kapsułki twarde";"NAR";"07982";"Bezterminowe";"A05AA02";"Bausch Health Ireland Ltd.";"05909990798216 ¦ Rp ¦ Skasowane ¦ 119
20 kaps.
05909990798223 ¦ Rp ¦ 120
50 kaps.";"Acidum ursodeoxycholicum 300 mg";"";"";"";"";"ICN Polfa Rzeszów S.A.";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/60/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/60/characteristic";"";"";"";"";"";""
"100000617";"Bronchicum T";"Thymi extractum fluidum";"Ludzki";"";"";"doustna";"100 mg";"Tabletki do ssania";"NAR";"07892";"Bezterminowe";"";"Opella Healthcare Poland Sp. z o.o.";"05909990789214 ¦ OTC ¦ 121
20 tabl.
05909990789221 ¦ OTC ¦ 122
50 tabl.";"Thymi extractum fluidum 100 mg";"Opella Healthcare Poland Sp. z o.o. Oddział w Rzeszowie";"Polska";"";"";"Opella Healthcare Poland Sp. z o.o. Oddział w Rzeszowie";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/61/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/61/characteristic";"";"";"";"";"";""
"100000623";"Arthryl Fast";"Glucosamini sulfas + Lidocaini hydrochloridum";"Ludzki";"";"";"domięśniowa";"(400 mg + 10 mg)/2 ml";"Roztwór do wstrzykiwań";"NAR";"20761";"Bezterminowe";"M01AX05";"Cooper Consumer Health B.V.";"05909991029944 ¦ Rp ¦ 59236
6 amp. 2 ml ¦ 6 amp. 1 ml";"Glucosamini sulfas 400 mg/2 ml + Lidocaini hydrochloridum 10 mg/2 ml";"";"";"";"";"Biologici Italia Laboratories s.r.l.";"Włochy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/62/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/62/characteristic";"";"";"";"";"";""
"100000652";"NovoNorm";"Repaglinidum";"Ludzki";"";"";"doustna";"0,5 mg";"Tabletki";"CEN";"";"";"A10BX02";"Novo Nordisk A/S";"05909990804016 ¦ Rp ¦ EU/1/98/076/004 ¦ 128
30 tabl.
05909990804023 ¦ Rp ¦ EU/1/98/076/005 ¦ 129
90 tabl.
05909990804030 ¦ Rp ¦ EU/1/98/076/006 ¦ 130
120 tabl.
Rp ¦ Skasowane ¦ EU/1/98/076/007 ¦ 105330
360 tabl.
Rp ¦ EU/1/98/076/024 ¦ 105331
270 tabl.";"Repaglinidum 0.5 mg";"Novo Nordisk A/S";"Dania";"";"";"Novo Nordisk A/S";"Dania";"";"";"";"";"";"";"";"";"";"";""
"100000706";"Flegamina Classic Junior o smaku truskawkowym";"Bromhexini hydrochloridum";"Ludzki";"";"Flegamina Junior o smaku truskawkowym 
Flegamina o smaku truskawkowym";"doustna";"2 mg/5 ml";"Syrop";"NAR";"08064";"Bezterminowe";"R05CB02";"Teva Pharmaceuticals Polska Sp. z o.o.";"05909990042876 ¦ OTC ¦ 35498
1 butelka 200 ml
05909990806416 ¦ OTC ¦ 62239
1 butelka 120 ml";"Bromhexini hydrochloridum 40 mg";"";"";"";"";"Teva Czech Industries s.r.o.
Teva Operations Polska Sp. z o.o.";"Czechy
Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/70/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/70/characteristic";"";"";"";"";"";""
"100000729";"Neomycinum Jelfa";"Neomycini sulfas";"Ludzki";"";"";"do oka";"5 mg/g";"Maść do oczu";"NAR";"07909";"Bezterminowe";"S01AA03";"Bausch+Lomb Ireland Ltd.";"05909990790913 ¦ Rp ¦ 45978
1 tuba 3 g";"Neomycini sulfas 5 mg/g";"Przedsiębiorstwo Farmaceutyczne Jelfa S.A.";"Polska";"";"";"Przedsiębiorstwo Farmaceutyczne Jelfa S.A.";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/72/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/72/characteristic";"";"";"";"";"";""
"100000735";"Citocartin 100";"Articaini hydrochloridum + Adrenalinum";"Ludzki";"";"";"okołonerwowa";"(40 mg + 10 mcg)/ml";"Roztwór do wstrzykiwań";"NAR";"07886";"Bezterminowe";"N01BB58";"Molteni Dental s.r.l.";"05909990788613 ¦ Rp ¦ 136
10 wkładów 1,7 ml
05909990788620 ¦ Rp ¦ 137
50 wkładów 1,7 ml";"Articaini hydrochloridum 40 mg/ml + Adrenalinum 10 mg/ml";"Laboratoriom Normon S.A.";"Hiszpania";"";"";"Laboratoriom Normon S.A.";"Hiszpania";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/73/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/73/characteristic";"";"";"";"";"";""
"100000764";"Lacipil";"Lacidipinum";"Ludzki";"";"";"doustna";"6 mg";"Tabletki powlekane";"NAR";"12636";"Bezterminowe";"C08CA09";"GlaxoSmithKline Trading Services Limited";"05909990625680 ¦ Rp ¦ 34614
14 tabl.
05909990625697 ¦ Rp ¦ 34615
28 tabl.";"Lacidipinum 6 mg";"";"";"";"";"Glaxo Wellcome S.A.";"Hiszpania";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/76/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/76/characteristic";"";"";"";"";"";""
"100000801";"Loratadyna Galena";"Loratadinum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki";"NAR";"07954";"Bezterminowe";"R06AX13";"Farmaceutyczna Spółdzielnia Pracy GALENA";"05909990795413 ¦ OTC ¦ Skasowane ¦ 146
10 tabl.
05909990795420 ¦ Rp ¦ 150
30 tabl.
05909990670253 ¦ Rp ¦ 46671
60 tabl.
05909990670260 ¦ Rp ¦ 46672
90 tabl.";"Loratadinum 10 mg";"Farmaceutyczna Spółdzielnia Pracy Galena - Zakład Nr 2";"Polska";"";"";"Farmaceutyczna Spółdzielnia Pracy Galena - Zakład Nr 2";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/80/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/80/characteristic";"";"";"";"";"";""
"100000818";"Sortis 20";"Atorvastatinum";"Ludzki";"";"";"doustna";"20 mg";"Tabletki powlekane";"MRP";"07847";"Bezterminowe";"C10AA05";"Viatris Healthcare Limited";"05909990784714 ¦ Rp ¦ 151
30 tabl.
05909990784721 ¦ Rp ¦ Skasowane ¦ 19693
14 tabl.
05909990634545 ¦ Rp ¦ Skasowane ¦ 42165
84 tabl.";"Atorvastatinum calcicum 21.7 mg";"";"";"";"";"Medis International a.s. vyrobni zavod Bolatice
Mylan Hungary Kft.
Pfizer Manufacturing Deutschland GmbH";"Czechy
Węgry
Niemcy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/81/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/81/characteristic";"";"";"";"";"";""
"100000824";"Tramal Retard 200";"Tramadoli hydrochloridum";"Ludzki";"";"";"doustna";"200 mg";"Tabletki o przedłużonym uwalnianiu";"NAR";"07864";"Bezterminowe";"N02AX02";"STADA Arzneimittel AG";"05909990786411 ¦ Rp ¦ 152
10 tabl.
05909990786428 ¦ Rp ¦ 153
30 tabl.
05909990786435 ¦ Rp ¦ 154
50 tabl.";"Tramadoli hydrochloridum 200 mg";"STADA Arzneimittel AG";"Niemcy";"";"";"STADA Arzneimittel AG";"Niemcy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/82/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/82/characteristic";"";"";"";"";"";""
"100000882";"Imovane";"Zopiclonum";"Ludzki";"";"";"doustna";"7,5 mg";"Tabletki powlekane";"NAR";"01722";"Bezterminowe";"N05CF01";"Sanofi Winthrop Industrie";"05909990172214 ¦ Rp ¦ 171
5 tabl.
05909990172221 ¦ Rp ¦ 172
20 tabl. (2 x 10)
05909990419395 ¦ Rp ¦ 29532
20 tabl. ( 1 x 20)
05909991448615 ¦ Rp ¦ 139304
14 tabl.";"Zopiclonum 7.5 mg";"Opella Healthcare International SAS";"Francja";"";"";"Opella Healthcare International SAS";"Francja";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/88/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/88/characteristic";"";"";"";"";"";""
"100000936";"Xanax SR";"Alprazolamum";"Ludzki";"";"";"doustna";"0,5 mg";"Tabletki o przedłużonym uwalnianiu";"NAR";"07939";"Bezterminowe";"N05BA12";"Upjohn EESV";"05909990793914 ¦ Rp ¦ 178
30 tabl.
05909990793921 ¦ Rp ¦ 179
60 tabl.";"Alprazolamum 0.5 mg";"";"";"";"";"Mylan Hungary Kft./Mylan Hungary Ltd
Pfizer Italia S.r.l.";"Węgry
Włochy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/93/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/93/characteristic";"";"";"";"";"";""
"100000988";"Veral";"Diclofenacum natricum";"Ludzki";"";"";"na skórę";"10 mg/g (1%)";"Żel";"NAR";"07978";"2024-12-31";"M02AA15";"Herbacos Recordati s.r.o.";"05909990797813 ¦ OTC ¦ 189
1 tuba 55 g
05909991027605 ¦ OTC ¦ 80943
1 tuba 100 g";"Diclofenacum natricum 0.01 g/1 g";"Herbacos Recordati s.r.o.";"Czechy";"";"";"Herbacos Recordati s.r.o.";"Czechy";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/98/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/98/characteristic";"";"";"";"";"";""
"100000994";"Ifapidin";"Ticlopidinum";"Ludzki";"";"";"doustna";"250 mg";"Tabletki powlekane";"NAR";"07971";"2023-06-13";"B01AC05";"Egis Pharmaceuticals Ltd.";"05909990797110 ¦ Rp ¦ 23839
20 tabl. w blistrze (1 x 20)
05909990797127 ¦ Rp ¦ 23840
30 tabl. (2 x 15)
05909990797134 ¦ Rp ¦ 23841
60 tabl. w blistrach (3 x 20)
05909990694846 ¦ Rp ¦ 49632
60 tabl. w blistrach (6 x 10)
05909990694853 ¦ Rp ¦ 49633
20 tabl. w blistrach (2 x 10)";"Ticlopidini hydrochloridum 250 mg";"Egis Pharmaceuticals PLC";"Węgry";"";"";"Egis Pharmaceuticals PLC";"Węgry";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/99/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/99/characteristic";"";"";"";"";"";""
"100001019";"Pelogel";"Wodny wyciąg borowinowy";"Ludzki";"";"";"na dziąsła";"-";"Żel do stosowania na dziąsła";"NAR";"07959";"Bezterminowe";"D11A";"Przedsiębiorstwo Farmaceutyczne SULPHUR ZDRÓJ Exim Sp. z o.o.";"05909990795918 ¦ OTC ¦ 196
1 tuba 40 g";"Wodny wyciąg borowinowy 80 g";"Przedsiębiorstwo Farmaceutyczne SULPHUR ZDRÓJ Exim Sp. z o.o.";"Polska";"";"";"Przedsiębiorstwo Farmaceutyczne SULPHUR ZDRÓJ Exim Sp. z o.o.";"Polska";"";"";"";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/101/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/101/characteristic";"";"";"";"";"";""
"100001025";"Lamitrin S";"Lamotriginum";"Ludzki";"";"";"doustna";"25 mg";"Tabletki do rozgryzania i żucia / do sporządzania zawiesiny";"MRP";"07872";"Bezterminowe";"N03AX09";"GlaxoSmithKline Trading Services Limited";"05909990787210 ¦ Rp ¦ 197
30 tabl.
05909990787227 ¦ Rp ¦ 198
56 tabl.
05909990422296 ¦ Rp ¦ 32558
42 tabl.
05909990422302 ¦ Rp ¦ 32560
21 tabl.
05909990691128 ¦ Rp ¦ 49295
10 tabl.
05909990691135 ¦ Rp ¦ 49296
14 tabl.
05909990691142 ¦ Rp ¦ 49297
28 tabl.
05909990691159 ¦ Rp ¦ 49298
50 tabl.
05909990691166 ¦ Rp ¦ 49299
60 tabl.";"Lamotriginum 25 mg";"";"";"";"";"Delpharm Poznań S.A.";"Polska";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/102/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/102/characteristic";"";"";"";"";"";""
"100001120";"Cipramil";"Citalopramum";"Ludzki";"";"";"doustna";"20 mg";"Tabletki powlekane";"NAR";"08015";"Bezterminowe";"N06AB04";"H. Lundbeck A/S";"05909990801510 ¦ Rp ¦ 210
28 tabl.
05909990801527 ¦ Rp ¦ 211
56 tabl.";"Citalopramum 20 mg";"H. Lundbeck A/S";"Dania";"";"";"H. Lundbeck A/S";"Dania";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/112/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/112/characteristic";"";"";"";"";"";""
